private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
enter,"n. [计] 输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去
"
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
path,n. 道路；小路；轨道
Confucius,n. 孔子（中国哲学家，教育家）
good-looking,adj. 好看的；美貌的
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；[语]构成
n. 比较
"
in order,"na. 整整齐齐；合规则；情况正常；健康
"
Olympic Games,"n. 奥林匹克运动会；奥运会
"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩
"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到
"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起
"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达
"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶
"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
Tomb-sweeping Day, 清明节；日清明节；扫墓节
heavily,adv. 沉重地；猛烈地；沉闷地
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩
"
alarm clock,"n. 闹钟
"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的
"
musical instrument,"n. 乐器
"
clavichord,n. 古钢琴，翼琴
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的
"
string,n. 线，弦，细绳；一串，一行
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆
"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
MRI scanner,无
invent,vt. 发明；创造；虚构
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视
"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租
"
electricity bill, 电费；电费单；电费账单
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
newsagent,n. 报刊经销商
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
headmaster,n. 校长
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
destroy,vt. 破坏；消灭；毁坏
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换
"
deserve,"vi. 应受，应得
vt. 应受，应得"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
at once,"na. 立刻；同时
"
educational,adj. 教育的；有教育意义的
portrait,"n. 肖像；描写；半身雕塑像
"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
practise,"vi. 练习，实践；实施，实行；从事
vt. 练习，实践；实施，实行"
tai chi, 太极；太极拳；中国太极
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取
"
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里
"
firefighter,n. 消防队员
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
stranger,"n. 陌生人；外地人；局外人
"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
Taj Mahal,"na. (印度 Agra 的)泰姬陵
"
emperor,n. 皇帝，君主
ruler,n. 尺；统治者；[测] 划线板，划线的人
in honour of,"na. 向…表示敬意
"
in sb.'s honour,无
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家
"
call sb. in,"na. 招；叫进；引入；调入
"
construct,"n. 构想，概念
vt. 建造，构造；创立"
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上
"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生
"
dig,"n. 戳，刺；挖苦
vi. 挖掘
vt. 挖，掘；探究
"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
laptop,n. 膝上型轻便电脑，笔记本电脑
on strike,"adj. 罢工
"
go up,"na. 上升；上城市去；腾贵；烧起来
"
once more,"na. 再一次；“once again/more”的变体
"
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
set off,"na. 分；分割；划开；区划
"
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护
"
set out,"n. 开始；出发；动身；准备
"
plenty of,"na. 很多的
"
take part in sth.,"na. 参加；贡献
"
luggage,n. 行李；皮箱
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
stupidly,adv. 愚蠢地
be over,"v. 结束了
"
be up to,"un. 面对；在干；居心
"
capable,adj. 能干的，能胜任的；有才华的
set sth. up,"na. 建立；创立；发起；开办
"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
create,vt. 创造，创作；造成
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
take place,"na. 发生；举行
"
ocean,"n. 海洋；大量；广阔
"
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
pop singer,"n. 流行歌歌星
"
at present,"na. 目前
"
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部
"
performance,n. 性能；绩效；表演；执行；表现
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练
"
invitation,n. 邀请；引诱；请帖；邀请函
probably,adv. 大概；或许；很可能
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
poetry,n. 诗；诗意，诗情；诗歌艺术
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
folk singer,"n. 民歌手；唱民歌者
"
recital,n. 朗诵，吟诵；独奏会；背诵；独唱会
execution,n. 执行，实行；完成；死刑
situation,n. 情况；形势；处境；位置
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
drive on to sth.,无
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
"
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出
"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导
"
properly,adv. 适当地；正确地；恰当地
run away,"na. 私奔；逃；弄不好
"
explain,v. 说明；解释
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力
"
seat belt,"n. （汽车或飞机上的）安全带
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
except for,"na. 只有
"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆
"
free,"adj. 免费的；自由的，不受约束的；[化学] 游离的
vt. 使自由，解放；释放
adv. 自由地；免费
"
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
greet,"vt. 欢迎，迎接；致敬，致意；映入眼帘
"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号
"
nod,"n. 点头；打盹；摆动
vt. 点头；点头表示
vi. 点头；打盹；摆动"
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
hitch hiker,搭便车的人；搭顺风车的人
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
nervous,adj. 神经的；紧张不安的；强健有力的
look up from sth.,无
afford,"vt. 给予，提供；买得起
"
pressure,"n. 压力；压迫，[物] 压强
vt. 迫使；密封；使……增压"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污
"
discussion,n. 讨论，议论
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒
"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
irritable,adj. 过敏的；急躁的；易怒的
cover sb. with sth.,"v. 覆盖着
"
cover sth. with sth.,"v. 覆盖着
"
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
let sb. go,"v. 放手；解雇；松手；忽视
"
let sth. go,"v. 放手；解雇；松手；忽视
"
ticket,vt. 加标签于；指派；对…开出交通违规罚单
traffic police,"un. 交通警
"
No Parking,"adj. 不准停放
n. 不准停车
"
area,"n. 区域，地区；面积；范围
"
reminder,n. 暗示；提醒的人/物；催单
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃
"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话
"
disobey,v. 违反；不服从
direction,n. 方向；指导；趋势；用法说明
briefcase,n. 公文包
occupied,"adj. 已占用的；使用中的；无空闲的
v. 占有（occupy的过去分词）"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加
"
unwell,adj. 不舒服的；生病的
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁
"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
take care of sb.,"na. 照看；处理；清除
"
take care of sth.,"na. 照看；处理；清除
"
remind,vt. 提醒；使想起
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置
"
occasionally,adv. 偶尔；间或
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地
"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
district,n. 区域；地方；行政区
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的"
kingdom,"n. 王国；界；领域
"
amuse,vt. 娱乐；消遣；使发笑；使愉快
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
remembrance,n. 回想，回忆；纪念品；记忆力
resist,"n. [助剂] 抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
at least,"na. 至少
"
in spite of,"na. spite of 不管；〔古语〕无视
"
appear,vi. 出现；显得；似乎；出庭；登场
stocking,"n. 长袜
"
orange-coloured,"a. 橙色的, 桔色的"
grown up,"na. 成人发生
"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
orchestra,n. 管弦乐队；乐队演奏处
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存
"
rehearse,"vt. 排练；预演
vi. 排练；演习"
go to town,"na. 进京；〈美〉去市区买东西；过浮华生活；会活动
"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
go to hospital,"na. 入院
"
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求
"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
mountaineer,"n. 登山家，登山运动员；山地人
vi. 登山"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
personally,adv. 亲自地；当面；个别地；就自己而言
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
ready-made,adj. 现成的；做好的；陈旧的；平凡的
fifteenth-century, 十五世纪
in sb's opinion,"依照(某人的)看法, 在(某人)看来"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
point,"n. 要点；得分；标点；[机] 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向
"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
instead of,"prep. 代替；作为…的替换
"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
pub,"n. 酒馆；客栈
"
landlord,n. 房东，老板；地主
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
Good heavens!,"na. “heavens/good heavens”的变体
"
villa,"n. 别墅；郊区住宅
"
degree,n. 程度，等级；度；学位；阶层
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
Picasso,n. 毕加索(法国画家)
Plato,n. 柏拉图（古希腊哲学家）
end-of-term, 期末
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
take a bath,"na. “have a bath”的变体
"
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞
"
give sth. in,"na. 让步；屈服；投降；上交
"
give in,"na. 让步；屈服；投降；上交
"
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
give sth. up,"na. 放弃；断绝；投降；自首
"
give sb. up,"na. 放弃；断绝；投降；自首
"
besides,"prep. 除…之外
adv. 此外；而且"
a number of,"na. 若干；〔口语〕=numbers of 许多的
"
in addition to,"na. 加之
"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战
"
even if,"na. 即使…也
"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
far from,"na. 远离；决不
"
turn back,"na. 同“turn down ”
"
sell out,"na. 卖完；脱销；背叛；〈美口〉欺骗
"
at any moment,"na. 不知何时
"
ticket office,"na. 票房
"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
What a pity!,"un. 真可惜
"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
might,"n. 力量；威力；势力
v. 可以；或许（may的过去式）；应该
aux. 可能；也许
"
sadly,adv. 悲哀地；悲痛地
disappointed,adj. 失望的，沮丧的；受挫折的
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
in advance,"na. 预先；在先头
"
get together,"na. 聚集；集合；汇齐；积累
"
Spring Festival,"n. 春节
"
arrangement,n. 布置；整理；准备
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起
"
may as well,"na. “may well”的变体
"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
delighted,"adj. 高兴的；欣喜的
v. 使…兴高采烈；感到快乐（delight的过去分词）"
fisherman,n. 渔夫；渔人
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴
"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒
"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！
"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
pastime,n. 娱乐，消遣
apologise,vi. 道歉（等于apologize）
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅
"
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
engine,n. 引擎，发动机；机车，火车头；工具
power,"n. 力量，能力；电力，功率；政权，势力；[数] 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进
"
explorer,n. 探险家；勘探者；探测器；[医]探针
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的
"
pull sth. up,"v. 拔起；使…停下
"
pull sb. up,"v. 拔起；使…停下
"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
[ 过去式 held 过去分词 held或holden 现在分词 holding ]"
aeroplane,n. 飞机（等于airplane）
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说
"
come into,"na. 归入；开始；得到；缔结
"
drive,"n. 驱动器；驾车；[心理] 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括
"
determined,"v. 决定；断定（determine的过去分词）
adj. 决定了的；坚决的"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居
"
accurately,adv. 精确地，准确地
order,"n. 命令；顺序；规则；[贸易] 定单
vt. 命令；整理；定购
vi. 命令；定货"
instruction,n. 指令，命令；指示；教导；用法说明
seriously,adv. 认真地；严重地，严肃地
thoroughly,adv. 彻底地，完全地
drive sb. into sth.,"na. 把…赶进去；(风等把…)吹积成；把(功课等)灌输给
"
drive sth. into sth.,"na. 把…赶进去；(风等把…)吹积成；把(功课等)灌输给
"
cattle,"n. 牛；牲畜（骂人的话）；家畜；无价值的人
"
drive sb. back," 驾车返回, 驱车返回; 迫使后退; 逐退; 却"
drive sth. back," 驾车返回, 驱车返回; 迫使后退; 逐退; 却"
drive sb. out of sth., 驱逐出；迫使…离开
drive sth. out of sth., 驱逐出；迫使…离开
government,n. 政府；政体；管辖
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶
"
strongly,adv. 强有力地；坚强地；激烈地；气味浓地
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
theft,n. 盗窃；偷；赃物
cure,"n. 治疗；治愈；[临床] 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理
"
assure,vt. 保证；担保；使确信；弄清楚
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告
"
convince,vt. 说服；使确信，使信服
demand,"n. [经] 需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问
"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
experienced,adj. 老练的，熟练的；富有经验的
believe in sb.,"v. 相信
"
believe in sth.,"v. 相信
"
delight,"n. 高兴
vt. 使高兴
vi. 高兴
"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
economise,vi. 节省，减少开支
cost of living,"n. 生活费用
"
pollution,"n. 污染
污染物"
live on sb.,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
"
live on sth.,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
beware,"vt. 注意，当心；提防
vi. 当心，小心"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪
"
consist,vi. 由…组成；在于；符合
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
rid,"vt. 使摆脱；使去掉
"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
get tired of, 对……感到厌倦；厌烦；对……厌烦
be tired of,"v. 厌烦；厌倦
"
defend,"vi. 保卫；防守
vt. 辩护；防护"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同
"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引
"
emerge,vi. 浮现；摆脱；暴露
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍
"
prohibit,vt. 阻止，禁止
protect,vt. 保护，防卫；警戒
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历
"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
include,vt. 包含，包括
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
instruct,vt. 指导；通知；命令；教授
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
involve,vt. 包含；牵涉；使陷于；潜心于
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础
"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语
"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值
"
depend,vi. 依赖，依靠；取决于；相信，信赖
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
insist on sth.,"v. 坚持；强调
"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度
"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪
"
rely on sb.,"v. 依靠；信赖
"
rely on sth.,"v. 依靠；信赖
"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认
"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
engaged,"v. 保证；约定；同…订婚（engage的过去分词）
adj. 使用中的，忙碌的"
punctual,adj. 准时的，守时的；精确的
Beethoven,n. 贝多芬（德国作曲家）
Dickens,n. 魔鬼（等于devil）
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划
"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
effort,n. 努力；成就
correspond,vi. 符合，一致；相应；通信
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下
"
now and again, 不时地；时而；偶尔
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
picnic,"n. 野餐
vi. 去野餐"
thunderstorm,n. [气象] 雷暴；雷暴雨；大雷雨
politics,n. 政治，政治学；政治活动；政纲
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
gentleman,n. 先生；绅士；有身份的人
honesty,n. 诚实，正直
